"gebiedcode15";"peildatum";"variabele";"waarde";"toelichting";
"Zoomlevel 0 / Zuidoost";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 0 / Totaal";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 1 Centrum-West";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 2 Centrum-Oost";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 3 Westerpark";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 4 Bos en Lommer";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 5 Oud-West/De Baarsjes";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 6 Geuzenveld/Slotermeer";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 7 Osdorp";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 8 De Aker/Nieuw Sloten";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 9 Slotervaart";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 10 Oud-Zuid";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 11 Buitenveldert/Zuidas";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 12 De Pijp/Rivierenbuurt";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 13 Oud-oost";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 14 Indische buurt/Oostelijk havengebied";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 15 Watergraafsmeer";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 16 IJburg/Zeeburgereiland";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 17 Noord-West";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 18 Oud-Noord";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 19 Noord-Oost";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 20 Bijlmer-Centrum";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 21 Bijlmer-Oost";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 1 / 22 Gaasperdam/Driemond";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 3 / Mannen";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 3 / Vrouwen";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 5 / Laag (lager onderwijs)";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 5 / Midden 1 (mavo/vmbo/mbo1)";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 5 / Midden 2 (havo/vwo/mbo2-4)";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 5 / Hoog (hbo/wo)";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 8 / 19-64 jaar";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 8 / 65 jaar of ouder";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 9 / 19-34 jaar";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 9 / 35-64 jaar";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 9 / 65 jaar of ouder";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 10 / 19-34 jaar";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 10 / 35-49 jaar";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 10 / 50-64 jaar";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 10 / 65-74 jaar";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 10 / 75 jaar of ouder";"2008";"zwaar_roken_agm";"-";"Percentage inwoners van 19 jaar en ouder dat zwaar rookt (minimaal 20 sigaretten per dag)";
"Zoomlevel 0 / Centrum";"2008";"zwaar_alcoholgebruik_agm";"22,2";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 0 / West";"2008";"zwaar_alcoholgebruik_agm";"20,3";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 0 / Nieuw-West";"2008";"zwaar_alcoholgebruik_agm";"8,7";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 0 / Zuid";"2008";"zwaar_alcoholgebruik_agm";"21,5";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 0 / Oost";"2008";"zwaar_alcoholgebruik_agm";"13";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 0 / Noord";"2008";"zwaar_alcoholgebruik_agm";"12,2";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 0 / Zuidoost";"2008";"zwaar_alcoholgebruik_agm";"8,6";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 0 / Totaal";"2008";"zwaar_alcoholgebruik_agm";"15,8";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 1 Centrum-West";"2008";"zwaar_alcoholgebruik_agm";"22,9";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 2 Centrum-Oost";"2008";"zwaar_alcoholgebruik_agm";"21,6";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 3 Westerpark";"2008";"zwaar_alcoholgebruik_agm";"24,3";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 4 Bos en Lommer";"2008";"zwaar_alcoholgebruik_agm";"14,5";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 5 Oud-West/De Baarsjes";"2008";"zwaar_alcoholgebruik_agm";"20,7";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 6 Geuzenveld/Slotermeer";"2008";"zwaar_alcoholgebruik_agm";"8,9";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 7 Osdorp";"2008";"zwaar_alcoholgebruik_agm";"9,1";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 8 De Aker/Nieuw Sloten";"2008";"zwaar_alcoholgebruik_agm";"6,8";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 9 Slotervaart";"2008";"zwaar_alcoholgebruik_agm";"9,7";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 10 Oud-Zuid";"2008";"zwaar_alcoholgebruik_agm";"18,6";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 11 Buitenveldert/Zuidas";"2008";"zwaar_alcoholgebruik_agm";"9,4";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 12 De Pijp/Rivierenbuurt";"2008";"zwaar_alcoholgebruik_agm";"28,2";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 13 Oud-oost";"2008";"zwaar_alcoholgebruik_agm";"15,3";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 14 Indische buurt/Oostelijk havengebied";"2008";"zwaar_alcoholgebruik_agm";"11,6";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 15 Watergraafsmeer";"2008";"zwaar_alcoholgebruik_agm";"14,1";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 16 IJburg/Zeeburgereiland";"2008";"zwaar_alcoholgebruik_agm";"-";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 17 Noord-West";"2008";"zwaar_alcoholgebruik_agm";"14,8";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 18 Oud-Noord";"2008";"zwaar_alcoholgebruik_agm";"13,4";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 19 Noord-Oost";"2008";"zwaar_alcoholgebruik_agm";"9,1";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 20 Bijlmer-Centrum";"2008";"zwaar_alcoholgebruik_agm";"-";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 21 Bijlmer-Oost";"2008";"zwaar_alcoholgebruik_agm";"8,9";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 1 / 22 Gaasperdam/Driemond";"2008";"zwaar_alcoholgebruik_agm";"6,5";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 3 / Mannen";"2008";"zwaar_alcoholgebruik_agm";"18,8";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 3 / Vrouwen";"2008";"zwaar_alcoholgebruik_agm";"13";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 5 / Laag (lager onderwijs)";"2008";"zwaar_alcoholgebruik_agm";"11,5";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 5 / Midden 1 (mavo/vmbo/mbo1)";"2008";"zwaar_alcoholgebruik_agm";"13";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 5 / Midden 2 (havo/vwo/mbo2-4)";"2008";"zwaar_alcoholgebruik_agm";"16,9";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 5 / Hoog (hbo/wo)";"2008";"zwaar_alcoholgebruik_agm";"17,6";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 8 / 19-64 jaar";"2008";"zwaar_alcoholgebruik_agm";"17,1";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 8 / 65 jaar of ouder";"2008";"zwaar_alcoholgebruik_agm";"7,9";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 9 / 19-34 jaar";"2008";"zwaar_alcoholgebruik_agm";"22,2";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 9 / 35-64 jaar";"2008";"zwaar_alcoholgebruik_agm";"13,7";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 9 / 65 jaar of ouder";"2008";"zwaar_alcoholgebruik_agm";"7,9";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 10 / 19-34 jaar";"2008";"zwaar_alcoholgebruik_agm";"22,2";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 10 / 35-49 jaar";"2008";"zwaar_alcoholgebruik_agm";"12";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 10 / 50-64 jaar";"2008";"zwaar_alcoholgebruik_agm";"16,2";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 10 / 65-74 jaar";"2008";"zwaar_alcoholgebruik_agm";"10,6";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 10 / 75 jaar of ouder";"2008";"zwaar_alcoholgebruik_agm";"5,4";"Percentage inwoners van 19 jaar en ouder dat minimaal één dag per week zes of meer glazen alcohol (mannen) of vier of meer glazen (vrouwen) drinkt";
"Zoomlevel 0 / Centrum";"2008";"overmatig_alcoholgebruik_agm";"20,8";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 0 / West";"2008";"overmatig_alcoholgebruik_agm";"14,2";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 0 / Nieuw-West";"2008";"overmatig_alcoholgebruik_agm";"10,2";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 0 / Zuid";"2008";"overmatig_alcoholgebruik_agm";"18,3";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 0 / Oost";"2008";"overmatig_alcoholgebruik_agm";"14,5";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 0 / Noord";"2008";"overmatig_alcoholgebruik_agm";"8,9";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 0 / Zuidoost";"2008";"overmatig_alcoholgebruik_agm";"7,5";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 0 / Totaal";"2008";"overmatig_alcoholgebruik_agm";"13,9";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 1 / 1 Centrum-West";"2008";"overmatig_alcoholgebruik_agm";"18,8";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
"Zoomlevel 1 / 2 Centrum-Oost";"2008";"overmatig_alcoholgebruik_agm";"22,7";"Percentage inwoners van 19 jaar en ouder dat wekelijks meer dan 21 glazen alcohol (mannen) of meer dan 14 glazen alcohol (vrouwen) drinkt";
